beta_route,beta_term,rho,cand_set,blocked_pct,overrange_pct,terminal_pct,covered_pct
0.25,0.25,0.0,511,0.0,0.0,0.0,99.99999999999999
0.25,0.25,0.2,511,0.0,0.0,0.0,99.99999999999999
0.25,0.25,0.5,511,0.0,0.06534749449186548,0.0,99.93465250550814
0.25,0.25,0.8,511,0.0,78.15390858110352,0.8600638030264515,20.98602761587004
0.25,0.5,0.0,511,0.0,0.0,0.0,99.99999999999999
0.25,0.5,0.2,511,0.0,0.0,0.0,99.99999999999999
0.25,0.5,0.5,511,0.0,0.06534749449186548,0.01694833023007548,99.91770417527806
0.25,0.5,0.8,511,0.0,78.15390858110352,6.8432585300183035,15.002832888878183
0.25,0.75,0.0,511,0.0,0.0,0.0,100.00000000000001
0.25,0.75,0.2,511,0.0,0.0,0.020427896341014985,99.979572103659
0.25,0.75,0.5,511,0.0,0.06534749449186548,0.36813649103537716,99.56651601447275
0.25,0.75,0.8,511,0.0,78.15390858110352,13.763025199395276,8.083066219501214
0.25,1.0,0.0,511,0.0,0.0,0.08053458773819605,99.9194654122618
0.25,1.0,0.2,511,0.0,0.0,0.188042740045855,99.81195725995416
0.25,1.0,0.5,511,0.0,0.06534749449186548,1.6825228983131177,98.25212960719502
0.25,1.0,0.8,511,0.0,78.15390858110352,17.5442942274239,4.301797191472587
0.5,0.25,0.0,511,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.25,0.2,511,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.25,0.5,511,0.027741040426920324,0.06534749449186548,0.0,99.90691146508122
0.5,0.25,0.8,511,0.027741040426920324,78.20846964786844,0.8119083354342862,20.95188097627035
0.5,0.5,0.0,511,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.5,0.2,511,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.5,0.5,511,0.027741040426920324,0.06534749449186548,0.002053173680454696,99.90485829140077
0.5,0.5,0.8,511,0.027741040426920324,78.20846964786844,6.787946719167897,14.975842592536736
0.5,0.75,0.0,511,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.75,0.2,511,0.027741040426920324,0.0,0.0017977430890144448,99.97046121648407
0.5,0.75,0.5,511,0.027741040426920324,0.06534749449186548,0.3574968508263326,99.54941461425489
0.5,0.75,0.8,511,0.027741040426920324,78.20846964786844,13.690029563288082,8.073759748416549
0.5,1.0,0.0,511,0.027741040426920324,0.0,0.06275950175539691,99.9094994578177
0.5,1.0,0.2,511,0.027741040426920324,0.0,0.1603016996189347,99.81195725995416
0.5,1.0,0.5,511,0.027741040426920324,0.06534749449186548,1.6547818578861975,98.25212960719502
0.5,1.0,0.8,511,0.027741040426920324,78.20846964786844,17.46199212023205,4.301797191472587
0.75,0.25,0.0,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.25,0.2,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.25,0.5,511,0.5964052131346421,0.06354975140285103,0.0,99.34004503546251
0.75,0.25,0.8,511,0.5964052131346421,78.3565460174087,0.6240270780599372,20.423021691396713
0.75,0.5,0.0,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.5,0.2,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.5,0.5,511,0.5964052131346421,0.06354975140285103,0.0,99.34004503546251
0.75,0.5,0.8,511,0.5964052131346421,78.3565460174087,6.243976443149055,14.803072326307596
0.75,0.75,0.0,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.75,0.2,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.75,0.5,511,0.5964052131346421,0.06354975140285103,0.0471108234304964,99.29293421203202
0.75,0.75,0.8,511,0.5964052131346421,78.3565460174087,13.063572516175453,7.983476253281198
0.75,1.0,0.0,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,1.0,0.2,511,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,1.0,0.5,511,0.5964052131346421,0.06354975140285103,1.1660957379890455,98.17394929747347
0.75,1.0,0.8,511,0.5964052131346421,78.3565460174087,16.76871132562107,4.278337443835585
1.0,0.25,0.0,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.25,0.2,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.25,0.5,511,2.838715783167665,0.06354975140285103,0.0,97.0977344654295
1.0,0.25,0.8,511,2.838715783167665,78.524794029858,0.11268558392937424,18.523804603044976
1.0,0.5,0.0,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.5,0.2,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.5,0.5,511,2.838715783167665,0.06354975140285103,0.0,97.0977344654295
1.0,0.5,0.8,511,2.838715783167665,78.524794029858,4.485953736191823,14.150536450782523
1.0,0.75,0.0,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.75,0.2,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.75,0.5,511,2.838715783167665,0.06354975140285103,0.009255452548101391,97.0884790128814
1.0,0.75,0.8,511,2.838715783167665,78.524794029858,10.843306739592233,7.7931834473821135
1.0,1.0,0.0,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,1.0,0.2,511,2.838715783167665,0.0,0.0,97.16128421683234
1.0,1.0,0.5,511,2.838715783167665,0.06354975140285103,0.24960604712506196,96.84812841830443
1.0,1.0,0.8,511,2.838715783167665,78.524794029858,14.505094106833667,4.13139608014068
