weight,rho,ablation,K,coverage_pct,cand_set
uniform,0.2,A0,1,47.57249008324487,511
uniform,0.2,A0,5,90.61958768646294,511
uniform,0.2,A0,10,98.26805966813788,511
uniform,0.2,A0,20,100.0,511
uniform,0.2,A0,30,100.0,511
uniform,0.2,A0,50,100.0,511
uniform,0.2,A0,75,100.0,511
uniform,0.2,A0,100,100.0,511
uniform,0.2,A0,150,100.0,511
uniform,0.2,A0,300,100.0,511
uniform,0.2,A0,605,100.0,511
uniform,0.2,Eucl,1,48.969216157327224,511
uniform,0.2,Eucl,5,91.33471143639309,511
uniform,0.2,Eucl,10,98.43566679702776,511
uniform,0.2,Eucl,20,100.0,511
uniform,0.2,Eucl,30,100.0,511
uniform,0.2,Eucl,50,100.0,511
uniform,0.2,Eucl,75,100.0,511
uniform,0.2,Eucl,100,100.0,511
uniform,0.2,Eucl,150,100.0,511
uniform,0.2,Eucl,300,100.0,511
uniform,0.2,Eucl,605,100.0,511
uniform,0.2,energy,1,45.5444438236773,511
uniform,0.2,energy,5,89.73685680764288,511
uniform,0.2,energy,10,98.01106207050674,511
uniform,0.2,energy,20,100.0,511
uniform,0.2,energy,30,100.0,511
uniform,0.2,energy,50,100.0,511
uniform,0.2,energy,75,100.0,511
uniform,0.2,energy,100,100.0,511
uniform,0.2,energy,150,100.0,511
uniform,0.2,energy,300,100.0,511
uniform,0.2,energy,605,100.0,511
uniform,0.2,High,1,40.04134309179284,511
uniform,0.2,High,5,85.40141907369127,511
uniform,0.2,High,10,96.28470864294094,511
uniform,0.2,High,20,99.31281077155148,511
uniform,0.2,High,30,99.7150678808872,511
uniform,0.2,High,50,99.8100452539248,511
uniform,0.2,High,75,99.8100452539248,511
uniform,0.2,High,100,99.8100452539248,511
uniform,0.2,High,150,99.8100452539248,511
uniform,0.2,High,300,99.8100452539248,511
uniform,0.2,High,605,99.8100452539248,511
uniform,0.2,Medium,1,37.94625398066931,511
uniform,0.2,Medium,5,83.93765014805297,511
uniform,0.2,Medium,10,94.81535281300631,511
uniform,0.2,Medium,20,97.5305883010224,511
uniform,0.2,Medium,30,97.67026090843063,511
uniform,0.2,Medium,50,97.67026090843063,511
uniform,0.2,Medium,75,97.67026090843063,511
uniform,0.2,Medium,100,97.67026090843063,511
uniform,0.2,Medium,150,97.67026090843063,511
uniform,0.2,Medium,300,97.67026090843063,511
uniform,0.2,Medium,605,97.67026090843063,511
uniform,0.2,Low,1,11.134700262584502,511
uniform,0.2,Low,5,47.645119839097156,511
uniform,0.2,Low,10,71.89787138946309,511
uniform,0.2,Low,20,85.70311190569305,511
uniform,0.2,Low,30,89.16699256941729,511
uniform,0.2,Low,50,90.40728532320242,511
uniform,0.2,Low,75,90.42963294038773,511
uniform,0.2,Low,100,90.42963294038773,511
uniform,0.2,Low,150,90.42963294038773,511
uniform,0.2,Low,300,90.42963294038773,511
uniform,0.2,Low,605,90.42963294038773,511
