rep,rho,cand_set,n_cells_patched,cov_eucl,cov_M,gap_pp
0,0.0,511,10304,99.99999999999996,96.06687933024631,3.9331206697536487
0,0.5,511,10304,99.64670841569479,92.45796287219493,7.188745543499863
1,0.0,511,10365,99.99999999999996,96.07511580213985,3.9248841978601092
1,0.5,511,10365,99.64670841569479,92.40359346685561,7.243114948839178
2,0.0,511,10290,99.99999999999996,96.09606214186579,3.903937858134171
2,0.5,511,10290,99.64670841569479,92.5726411328174,7.074067282877394
3,0.0,511,10294,99.99999999999996,95.99998993221531,4.000010067784643
3,0.5,511,10294,99.64670841569479,92.34495320968696,7.301755206007826
4,0.0,511,10276,99.99999999999996,96.102250538734,3.89774946126596
4,0.5,511,10276,99.64670841569479,92.4305984243368,7.216109991357996
5,0.0,511,10288,99.99999999999996,95.99646538271524,4.003534617284714
5,0.5,511,10288,99.64670841569479,92.46033203402587,7.1863763816689215
6,0.0,511,10329,99.99999999999996,96.03930961619035,3.960690383809606
6,0.5,511,10329,99.64670841569479,92.54206975074112,7.104638664953669
7,0.0,511,10231,99.99999999999996,95.9608806276958,4.039119372304157
7,0.5,511,10231,99.64670841569479,92.47796865242434,7.168739763270452
8,0.0,511,10334,99.99999999999996,96.03916991516732,3.9608300848326365
8,0.5,511,10334,99.64670841569479,92.43946202743432,7.207246388260472
9,0.0,511,10363,99.99999999999996,96.17990985442022,3.8200901455797407
9,0.5,511,10363,99.64670841569479,92.64727085864749,6.999437557047301
10,0.0,511,10299,99.99999999999996,96.17831098780017,3.8216890121997835
10,0.5,511,10299,99.64670841569479,92.48180118912377,7.164907226571017
11,0.0,511,10274,99.99999999999996,95.81891008522636,4.181089914773594
11,0.5,511,10274,99.64670841569479,92.43801348233102,7.208694933363773
12,0.0,511,10315,99.99999999999996,96.31167784288384,3.6883221571161187
12,0.5,511,10315,99.64670841569479,92.58620844473265,7.060499970962141
13,0.0,511,10258,99.99999999999996,96.0559631180594,3.944036881940562
13,0.5,511,10258,99.64670841569479,92.45794220911273,7.188766206582059
14,0.0,511,10326,99.99999999999996,96.13632096883717,3.863679031162789
14,0.5,511,10326,99.64670841569479,92.64185591246576,7.004852503229031
15,0.0,511,10278,99.99999999999996,96.05911112196729,3.9408888780326663
15,0.5,511,10278,99.64670841569479,92.60883249360853,7.037875922086258
16,0.0,511,10268,99.99999999999996,96.03808629034428,3.9619137096556756
16,0.5,511,10268,99.64670841569479,92.5002364239936,7.1464719917011905
17,0.0,511,10281,99.99999999999996,96.27261756138611,3.7273824386138443
17,0.5,511,10281,99.64670841569479,92.70450798707634,6.942200428618449
18,0.0,511,10327,99.99999999999996,95.9880826353654,4.011917364634556
18,0.5,511,10327,99.64670841569479,92.36277924244567,7.2839291732491205
19,0.0,511,10329,99.99999999999996,95.9108615509963,4.089138449003656
19,0.5,511,10329,99.64670841569479,92.34724309740136,7.299465318293429
