scan,tag,rho,cov_M,cov_eucl
terminal,rp3_ta10_hc60,0.0,97.15463195848187,99.99999999999996
terminal,rp3_ta10_hc60,0.5,86.23953231672634,99.95022785443295
terminal,rp3_ta10_hc120,0.0,97.15463195848187,99.99999999999996
terminal,rp3_ta10_hc120,0.5,78.48319017425236,99.70080592639142
terminal,rp3_ta15_hc60,0.0,97.15198062577323,99.99999999999996
terminal,rp3_ta15_hc60,0.5,81.48185690742814,99.9439980806283
terminal,rp3_ta15_hc120,0.0,97.11529630454093,99.99999999999996
terminal,rp3_ta15_hc120,0.5,72.1842111944284,99.64670841569479
terminal,rp3_ta30_hc60,0.0,95.94692090270041,99.99999999999996
terminal,rp3_ta30_hc60,0.5,65.42873722413287,99.92318818381484
terminal,rp3_ta30_hc120,0.0,95.15379773129779,99.99999999999996
terminal,rp3_ta30_hc120,0.5,53.55303955950973,99.4805179903969
terminal,rp5_ta10_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta10_hc60,0.5,96.47743021180767,99.95022785443295
terminal,rp5_ta10_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta10_hc120,0.5,94.81495247738555,99.70080592639142
terminal,rp5_ta15_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta15_hc60,0.5,96.0538280508677,99.9439980806283
terminal,rp5_ta15_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta15_hc120,0.5,93.80321688806276,99.64670841569479
terminal,rp5_ta30_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta30_hc60,0.5,93.77323731185497,99.92318818381484
terminal,rp5_ta30_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp5_ta30_hc120,0.5,89.60565218059385,99.4805179903969
terminal,rp8_ta10_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta10_hc60,0.5,96.98650721380656,99.95022785443295
terminal,rp8_ta10_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta10_hc120,0.5,96.32451024909177,99.70080592639142
terminal,rp8_ta15_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta15_hc60,0.5,96.94072362020452,99.9439980806283
terminal,rp8_ta15_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta15_hc120,0.5,96.13513345237281,99.64670841569479
terminal,rp8_ta30_hc60,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta30_hc60,0.5,96.74635545473014,99.92318818381484
terminal,rp8_ta30_hc120,0.0,97.16128421683231,99.99999999999996
terminal,rp8_ta30_hc120,0.5,95.52570538890724,99.4805179903969
payload,mp0,0.0,97.16128421683231,
payload,mp0,0.5,96.30375922838,
payload,mp0.5,0.0,97.16128421683231,
payload,mp0.5,0.5,95.44098438439597,
payload,mp1,0.0,97.16128421683231,
payload,mp1,0.5,93.80321688806276,
payload,mp1.5,0.0,97.16128421683231,
payload,mp1.5,0.5,91.27264759081874,
