draw,rho,cand_set,cov_eucl,cov_M,gap
10,0.0,605,99.99999999999996,90.3161818117741,9.683818188225857
10,0.0,511,99.99999999999996,90.24365488176792,9.756345118232034
10,0.2,605,99.99999999999996,86.61260072244986,13.387399277550102
10,0.2,511,99.99999999999996,86.2862747000053,13.713725299994664
10,0.5,605,99.68774212156532,48.80174581908766,50.885996302477665
10,0.5,511,99.64670841569479,46.47840672275177,53.16830169294302
10,0.8,605,11.166433177945965,0.6501182316474299,10.516314946298536
10,0.8,511,8.985531819887445,0.5806196257561116,8.404912194131333
11,0.0,605,99.99999999999996,90.41235860356112,9.58764139643884
11,0.0,511,99.99999999999996,90.35404825331207,9.645951746687885
11,0.2,605,99.99999999999996,86.5951368683168,13.404863131683157
11,0.2,511,99.99999999999996,86.40391449149534,13.596085508504615
11,0.5,605,99.68774212156532,48.765203995671506,50.922538125893816
11,0.5,511,99.64670841569479,46.91726807839792,52.72944033729687
11,0.8,605,11.166433177945965,0.6413904150153049,10.52504276293066
11,0.8,511,8.985531819887445,0.5855958178045187,8.399936002082926
12,0.0,605,99.99999999999996,90.18937687997179,9.810623120028168
12,0.0,511,99.99999999999996,90.12002413365587,9.879975866344083
12,0.2,605,99.99999999999996,86.56853217705897,13.431467822940988
12,0.2,511,99.99999999999996,86.09119188057844,13.908808119421522
12,0.5,605,99.68774212156532,48.59530934270736,51.09243277885796
12,0.5,511,99.64670841569479,46.218523052423286,53.4281853632715
12,0.8,605,11.166433177945965,0.6597085334954992,10.506724644450466
12,0.8,511,8.985531819887445,0.5606222566309931,8.424909563256453
13,0.0,605,99.99999999999996,89.91609296515998,10.083907034839982
13,0.0,511,99.99999999999996,89.86356895781229,10.136431042187667
13,0.2,605,99.99999999999996,86.18503483464366,13.814965165356298
13,0.2,511,99.99999999999996,85.87112927589843,14.128870724101532
13,0.5,605,99.68774212156532,48.8232838043686,50.86445831719672
13,0.5,511,99.64670841569479,46.441894828217656,53.20481358747713
13,0.8,605,11.166433177945965,0.6645326695424204,10.501900508403544
13,0.8,511,8.985531819887445,0.6111837007778821,8.374348119109563
14,0.0,605,99.99999999999996,90.24284024752781,9.757159752472148
14,0.0,511,99.99999999999996,90.19016321963822,9.809836780361735
14,0.2,605,99.99999999999996,86.42089448848897,13.579105511510988
14,0.2,511,99.99999999999996,86.06382971175343,13.93617028824653
14,0.5,605,99.68774212156532,48.678407660638236,51.009334460927086
14,0.5,511,99.64670841569479,46.55058966671443,53.09611874898036
14,0.8,605,11.166433177945965,0.5930649973961979,10.573368180549767
14,0.8,511,8.985531819887445,0.5202825370401151,8.46524928284733
15,0.0,605,99.99999999999996,89.96023412740156,10.039765872598394
15,0.0,511,99.99999999999996,89.90505888967088,10.094941110329074
15,0.2,605,99.99999999999996,86.28348474044957,13.716515259550391
15,0.2,511,99.99999999999996,86.01560741914057,13.984392580859392
15,0.5,605,99.68774212156532,48.395059308604104,51.29268281296122
15,0.5,511,99.64670841569479,46.68007618027806,52.96663223541673
15,0.8,605,11.166433177945965,0.7118260800142677,10.454607097931698
15,0.8,511,8.985531819887445,0.6182356611422483,8.367296158745196
16,0.0,605,99.99999999999996,89.99866726528862,10.00133273471134
16,0.0,511,99.99999999999996,89.90384858050912,10.096151419490837
16,0.2,605,99.99999999999996,86.23091092146359,13.769089078536368
16,0.2,511,99.99999999999996,86.01433544546313,13.985664554536825
16,0.5,605,99.68774212156532,48.924649598658426,50.763092522906895
16,0.5,511,99.64670841569479,46.87015684394629,52.7765515717485
16,0.8,605,11.166433177945965,0.6523428189021719,10.514090359043793
16,0.8,511,8.985531819887445,0.5919639284647795,8.393567891422666
17,0.0,605,99.99999999999996,89.82378579634877,10.176214203651185
17,0.0,511,99.99999999999996,89.76301691157808,10.23698308842188
17,0.2,605,99.99999999999996,86.12935614607504,13.870643853924918
17,0.2,511,99.99999999999996,85.84410951336604,14.155890486633922
17,0.5,605,99.68774212156532,48.75751244938422,50.9302296721811
17,0.5,511,99.64670841569479,46.56537037572898,53.08133803996581
17,0.8,605,11.166433177945965,0.6498310725406145,10.516602105405351
17,0.8,511,8.985531819887445,0.6003954974720571,8.385136322415388
18,0.0,605,99.99999999999996,89.94921917761862,10.050780822381341
18,0.0,511,99.99999999999996,89.90975759751946,10.090242402480499
18,0.2,605,99.99999999999996,86.26868050353667,13.731319496463286
18,0.2,511,99.99999999999996,86.05188996620414,13.948110033795814
18,0.5,605,99.68774212156532,48.78362261284979,50.90411950871553
18,0.5,511,99.64670841569479,46.95938683863122,52.68732157706357
18,0.8,605,11.166433177945965,0.6403635755032665,10.526069602442698
18,0.8,511,8.985531819887445,0.5756808392529909,8.409850980634454
19,0.0,605,99.99999999999996,90.14229591843619,9.857704081563767
19,0.0,511,99.99999999999996,90.08592123102078,9.91407876897918
19,0.2,605,99.99999999999996,86.3188617112481,13.681138288751853
19,0.2,511,99.99999999999996,86.05167468482622,13.948325315173733
19,0.5,605,99.68774212156532,48.48641471360285,51.201327407962474
19,0.5,511,99.64670841569479,46.573912222315144,53.072796193379645
19,0.8,605,11.166433177945965,0.6478724546552876,10.518560723290678
19,0.8,511,8.985531819887445,0.5499247278567696,8.435607092030676
