variant,rho,cand_set,cov_eucl,cov_M,gap
p25,0.0,605,99.99999999999996,91.44986511053322,8.550134889466733
p25,0.0,511,99.99999999999996,91.43150598433178,8.568494015668179
p25,0.2,605,99.99999999999996,88.85585132624638,11.144148673753577
p25,0.2,511,99.99999999999996,88.67270725089548,11.327292749104473
p25,0.5,605,99.68774212156532,57.400365562263794,42.28737655930153
p25,0.5,511,99.64670841569479,55.39608095822725,44.25062745746754
p25,0.8,605,11.166433177945965,0.6565764113214287,10.509856766624537
p25,0.8,511,8.985531819887445,0.6034885681382569,8.382043251749188
p75,0.0,605,99.99999999999996,88.85057323634615,11.149426763653807
p75,0.0,511,99.99999999999996,88.71848506401071,11.28151493598925
p75,0.2,605,99.99999999999996,83.36569343717866,16.634306562821294
p75,0.2,511,99.99999999999996,82.57570849006,17.424291509939962
p75,0.5,605,99.68774212156532,42.74199099129685,56.94575113026847
p75,0.5,511,99.64670841569479,40.46579008006711,59.18091833562768
p75,0.8,605,11.166433177945965,0.6109877491768735,10.555445428769092
p75,0.8,511,8.985531819887445,0.5207586893238104,8.464773130563634
