rho,beta_route,beta_term,cov_eucl,cov_M,gap_pp
0.0,1.0,1.0,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,1.0,0.5,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,1.0,0.25,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,0.5,1.0,99.99999999999996,99.91771970135254,0.0822802986474187
0.0,0.5,0.5,99.99999999999996,99.97225895957305,0.027741040426903396
0.0,0.25,1.0,99.99999999999996,99.92800941292417,0.07199058707578843
0.2,1.0,1.0,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,1.0,0.5,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,1.0,0.25,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,0.5,1.0,99.99999999999996,99.75470492157457,0.24529507842538578
0.2,0.5,0.5,99.99999999999996,99.97225895957305,0.027741040426903396
0.2,0.25,1.0,99.99999999999996,99.75615391652114,0.24384608347881453
0.5,1.0,1.0,99.68774212156532,93.93514308935383,5.752599032211492
0.5,1.0,0.5,99.68774212156532,96.46265492862547,3.225087192939853
0.5,1.0,0.25,99.68774212156532,96.57570332927395,3.112038792291372
0.5,0.5,1.0,99.68774212156532,95.13320015364582,4.554541967919505
0.5,0.5,0.5,99.68774212156532,99.12555199787194,0.5621901236933837
0.5,0.25,1.0,99.68774212156532,95.13320015364582,4.554541967919505
