variant,rho,blocked_pct,overrange_pct,terminal_pct,covered_pct,cov_eucl,cov_M,gap_pp
iid_headline,0.0,2.838715783167665,0.0,0.0,97.16128421683234,99.99999999999996,97.16128421683231,2.8387157831676433
iid_headline,0.2,2.838715783167665,0.0,0.0,97.16128421683234,99.99999999999996,97.16128421683231,2.8387157831676433
iid_headline,0.5,2.838715783167665,0.05113507373257597,0.11993796876611373,96.99021117433367,99.68774212156532,93.93514308935383,5.752599032211492
iid_headline,0.8,2.838715783167665,70.89243881721413,21.04317147776272,5.225673921855483,,,
cc95,0.0,2.838715783167665,0.0,0.012239864721980164,97.14904435211037,99.99999999999996,97.01434130065475,2.9856586993452083
cc95,0.2,2.838715783167665,0.0,1.2168408920626919,95.94444332476964,99.99999999999996,94.63391874167662,5.366081258323334
cc95,0.5,2.838715783167665,0.05113507373257597,15.699452928620916,81.41069621447883,99.68774212156532,69.8011421514956,29.886599970069724
cc95,0.8,2.838715783167665,70.89243881721413,24.743793899866745,1.5250514997514537,,,
bias_med,0.0,2.838715783167665,0.0,46.83542955387318,50.325854662959145,99.99999999999996,47.12995584151775,52.87004415848221
bias_med,0.2,2.838715783167665,0.0,56.97386600209888,40.18741821473344,99.99999999999996,36.344388173789305,63.65561182621065
bias_med,0.5,2.838715783167665,0.05113507373257597,74.94243743489113,22.16771170820861,99.68774212156532,17.356222756266863,82.33151936529846
bias_med,0.8,2.838715783167665,70.89243881721413,25.955213338410722,0.31363206120748094,,,
bias_mix,0.0,2.838715783167665,0.0,97.16128421683234,0.0,99.99999999999996,-0.0,99.99999999999996
bias_mix,0.2,2.838715783167665,0.0,97.16128421683234,0.0,99.99999999999996,-0.0,99.99999999999996
bias_mix,0.5,2.838715783167665,0.05113507373257597,97.11014914309975,0.0,99.68774212156532,-0.0,99.68774212156532
bias_mix,0.8,2.838715783167665,70.89243881721413,26.268845399618204,0.0,,,
bias_p95,0.0,2.838715783167665,0.0,97.16128421683234,0.0,99.99999999999996,-0.0,99.99999999999996
bias_p95,0.2,2.838715783167665,0.0,97.16128421683234,0.0,99.99999999999996,-0.0,99.99999999999996
bias_p95,0.5,2.838715783167665,0.05113507373257597,97.11014914309975,0.0,99.68774212156532,-0.0,99.68774212156532
bias_p95,0.8,2.838715783167665,70.89243881721413,26.268845399618204,0.0,,,
