kperp,regime,rho,cov_eucl,cov_sigma,gap_pp,sat_m,removed
1.0,Low,0.0,99.99999999999996,36.2538122926582,63.746187707341754,6.0,4229
1.0,Low,0.2,99.99999999999996,24.24836555797179,75.75163444202816,6.0,4229
1.0,Low,0.5,99.68774212156532,8.443529263890081,91.24421285767524,6.0,4229
1.0,Low,0.8,11.166433177945965,0.19678681616976143,10.969646361776205,6.0,4229
1.0,Medium,0.0,99.99999999999996,95.40187070804852,4.598129291951437,9.0,679
1.0,Medium,0.2,99.99999999999996,91.39193702966278,8.608062970337173,9.0,679
1.0,Medium,0.5,99.68774212156532,50.3924828007362,49.295259320829125,9.0,679
1.0,Medium,0.8,11.166433177945965,0.5853403301985276,10.581092847747438,9.0,679
1.0,High,0.0,99.99999999999996,99.90767184168125,0.09232815831870766,19.0,12
1.0,High,0.2,99.99999999999996,99.73051920233424,0.26948079766572164,19.0,12
1.0,High,0.5,99.68774212156532,95.01273682800698,4.675005293558343,19.0,12
1.0,High,0.8,11.166433177945965,1.9476304426364892,9.218802735309476,19.0,12
