screen,n_cand,rho,cov_M_K30,ceiling_all_screened
permissive,584,0.0,97.16128421683231,97.16128421683234
permissive,584,0.2,97.16128421683231,97.16128421683234
permissive,584,0.5,93.87046712714553,96.97624525426252
base,511,0.0,97.16128421683231,97.16128421683234
base,511,0.2,97.16128421683231,97.16128421683234
base,511,0.5,93.80321688806276,96.84812841830443
strict,132,0.0,97.12222435780608,97.12222435780612
strict,132,0.2,96.89574175729108,96.89574175729109
strict,132,0.5,62.25160046196837,63.302384015488634
none_605,605,0.0,97.16128421683231,97.16128421683234
none_605,605,0.2,97.16128421683231,97.16128421683234
none_605,605,0.5,93.93514308935383,96.99021117433367
