r_pad,t_align,h_c,rho,cov_M
3.0,10.0,60.0,0.0,97.15463195848187
3.0,10.0,60.0,0.2,96.9287592887841
3.0,10.0,60.0,0.5,86.7545330579275
3.0,10.0,60.0,0.8,7.520473671134135
3.0,10.0,120.0,0.0,97.15463195848187
3.0,10.0,120.0,0.2,96.46053705927366
3.0,10.0,120.0,0.5,79.68028728554157
3.0,10.0,120.0,0.8,0.8444374701168168
3.0,15.0,60.0,0.0,97.15351158620719
3.0,15.0,60.0,0.2,96.27844525576845
3.0,15.0,60.0,0.5,82.4617909462243
3.0,15.0,60.0,0.8,5.778647652151939
3.0,15.0,120.0,0.0,97.12894980636547
3.0,15.0,120.0,0.2,95.43051443176107
3.0,15.0,120.0,0.5,73.25340331205051
3.0,15.0,120.0,0.8,0.5944035276919527
3.0,30.0,60.0,0.0,95.98011954134068
3.0,30.0,60.0,0.2,92.1839071197168
3.0,30.0,60.0,0.5,66.40707411214248
3.0,30.0,60.0,0.8,2.7407578443517226
3.0,30.0,120.0,0.0,95.25457156574056
3.0,30.0,120.0,0.2,90.06464647642292
3.0,30.0,120.0,0.5,54.38825530592289
3.0,30.0,120.0,0.8,0.12483719146890022
5.0,10.0,60.0,0.0,97.16128421683231
5.0,10.0,60.0,0.2,97.16128421683231
5.0,10.0,60.0,0.5,96.49371698958052
5.0,10.0,60.0,0.8,23.522239709402673
5.0,10.0,120.0,0.0,97.16128421683231
5.0,10.0,120.0,0.2,97.16128421683231
5.0,10.0,120.0,0.5,94.91113674897804
5.0,10.0,120.0,0.8,2.8068351796303292
5.0,15.0,60.0,0.0,97.16128421683231
5.0,15.0,60.0,0.2,97.16128421683231
5.0,15.0,60.0,0.5,96.08541996677198
5.0,15.0,60.0,0.8,19.123122268190226
5.0,15.0,120.0,0.0,97.16128421683231
5.0,15.0,120.0,0.2,97.16128421683231
5.0,15.0,120.0,0.5,93.93514308935383
5.0,15.0,120.0,0.8,1.950473669073942
5.0,30.0,60.0,0.0,97.16128421683231
5.0,30.0,60.0,0.2,97.16128421683231
5.0,30.0,60.0,0.5,93.88028214561942
5.0,30.0,60.0,0.8,10.144364656626527
5.0,30.0,120.0,0.0,97.16128421683231
5.0,30.0,120.0,0.2,97.1511268302557
5.0,30.0,120.0,0.5,89.96996663362657
5.0,30.0,120.0,0.8,0.5992172643580463
8.0,10.0,60.0,0.0,97.16128421683231
8.0,10.0,60.0,0.2,97.16128421683231
8.0,10.0,60.0,0.5,97.00692667444329
8.0,10.0,60.0,0.8,40.65987857262689
8.0,10.0,120.0,0.0,97.16128421683231
8.0,10.0,120.0,0.2,97.16128421683231
8.0,10.0,120.0,0.5,96.41384555039653
8.0,10.0,120.0,0.8,6.234878282843437
8.0,15.0,60.0,0.0,97.16128421683231
8.0,15.0,60.0,0.2,97.16128421683231
8.0,15.0,60.0,0.5,96.97083053712397
8.0,15.0,60.0,0.8,36.4701883948799
8.0,15.0,120.0,0.0,97.16128421683231
8.0,15.0,120.0,0.2,97.16128421683231
8.0,15.0,120.0,0.5,96.24815324684823
8.0,15.0,120.0,0.8,4.5930726085424585
8.0,30.0,60.0,0.0,97.16128421683231
8.0,30.0,60.0,0.2,97.16128421683231
8.0,30.0,60.0,0.5,96.77220535728775
8.0,30.0,60.0,0.8,24.535277711277573
8.0,30.0,120.0,0.0,97.16128421683231
8.0,30.0,120.0,0.2,97.16128421683231
8.0,30.0,120.0,0.5,95.65020708302899
8.0,30.0,120.0,0.8,1.5517315470003632
