regime,rho,blocked_pct,overrange_pct,terminal_pct,covered_pct
High,0.0,0.025139836287403922,0.0,0.046850750788387456,99.92800941292421
High,0.2,0.025139836287403922,0.0,0.1629029037584511,99.81195725995416
High,0.5,0.025139836287403922,0.052932816821590414,1.3426224258841704,98.57930492100685
High,0.8,0.025139836287403922,68.0445884758622,26.456189128769317,5.474082559081087
Medium,0.0,2.838715783167665,0.0,0.0,97.16128421683234
Medium,0.2,2.838715783167665,0.0,0.0,97.16128421683234
Medium,0.5,2.838715783167665,0.05113507373257597,0.11993796876611373,96.99021117433367
Medium,0.8,2.838715783167665,70.89243881721413,21.04317147776272,5.225673921855483
Low,0.0,11.800581219714642,0.0,0.0,88.19941878028536
Low,0.2,11.800581219714642,0.0,0.020018212643474507,88.17940056764188
Low,0.5,11.800581219714642,1.9988036789027401,2.816429313752996,83.38418578762963
Low,0.8,11.800581219714642,82.07612673172888,3.6555759336388673,2.4677161149176223
